Taxa,Taxa (%)
Brasil,352.6,40.2
Acre,656.8,37.1
Alagoas,207.1,37.2
Amapá,342.6,23.4
Amazonas,284.6,64.4
Bahia,100.1,58.2
Ceará,385.6,65.8
Distrito Federal,510.3,24.0
Espírito Santo,488.5,42.3
Goiás,252.6,40.4
Maranhão,127.0,58.6
Mato Grosso,313.5,52.5
Mato Grosso do Sul,696.7,32.4
Minas Gerais,325.5,57.8
Pará,171.8,48.3
Paraíba,284.5,42.2
Paraná,459.9,28.4
Pernambuco,367.2,50.8
Piauí,125.6,55.0
Rio de Janeiro,301.9,40.1
Rio Grande do Norte,253.5,33.7
Rio Grande do Sul,300.1,37.7
Rondônia,606.1,17.3
Roraima,454.9,44.2
Santa Catarina,310.7,35.5
São Paulo,536.5,31.6
Sergipe,234.6,65.1
Tocantins,226.2,39.4
