Presos,Vagas,Déficite
2000, 232.755, 135.710, 97.045 
2001, 233.859, 141.297, 92.562 
2002, 239.345, 156.432, 82.913 
2003, 308.304, 179.489, 128.815 
2004, 336.358, 200.417, 135.941 
2005, 361.402, 206.559, 154.843 
2006, 401.236, 236.148, 165.088 
2007, 422.373, 249.515, 172.858 
2008, 451.429, 266.946, 184.483 
2009, 473.626, 278.726, 194.900 
2010, 496.251, 281.520, 214.731 
2011, 514.582, 295.413, 219.169 
2012, 549.786, 310.687, 239.099 
2013, 581.507, 341.253, 240.254 
2014, 622.202, 371.884, 250.318 
2015, 698.618, 371.201, 327.417 
2016, 726.712, 368.049, 358.663 
