Presos,Vagas,Déficite
2000, 232755, 135710, 97045 
2001, 233859, 141297, 92562 
2002, 239345, 156432, 82913 
2003, 308304, 179489, 128815 
2004, 336358, 200417, 135941 
2005, 361402, 206559, 154843 
2006, 401236, 236148, 165088 
2007, 422373, 249515, 172858 
2008, 451429, 266946, 184483 
2009, 473626, 278726, 194900 
2010, 496251, 281520, 214731 
2011, 514582, 295413, 219169 
2012, 549786, 310687, 239099 
2013, 581507, 341253, 240254 
2014, 622202, 371884, 250318 
2015, 698618, 371201, 327417 
2016, 726712, 368049, 358663 
