time,packets,packetSize,bits,tcp,udp
1,304,731.97,1780152.00,262,40
2,322,685.11,1764856.00,246,75
3,372,717.59,2135552.00,304,67
4,414,549.97,1821504.00,308,104
5,304,766.69,1864592.00,271,32
6,287,754.45,1732208.00,262,24
7,324,740.13,1918416.00,284,38
8,284,744.24,1690904.00,254,27
9,331,727.25,1925752.00,280,50
10,290,765.04,1774904.00,261,27
11,643,671.00,3451632.00,353,289
12,408,634.30,2070344.00,288,119
13,626,836.94,4191392.00,540,84
14,461,787.02,2902536.00,410,50
15,673,857.37,4616056.00,618,54
16,450,728.60,2622976.00,399,49
17,606,850.88,4125048.00,578,27
18,406,854.99,2777016.00,401,4
19,566,889.43,4027352.00,558,5
20,436,770.86,2688760.00,407,27
21,658,845.06,4448376.00,628,29
22,439,786.34,2761632.00,387,50
23,721,817.30,4714168.00,666,53
24,437,859.63,3005256.00,432,4
25,565,919.05,4154112.00,560,4
26,363,874.39,2539240.00,356,5
27,712,836.83,4766608.00,631,80
28,6830,940.49,51388400.00,3494,3335
29,5106,861.19,35177936.00,5069,35
30,4219,973.08,32843368.00,4158,58
31,4421,991.01,35050032.00,4392,28
32,4339,1035.34,35938736.00,4266,70
33,4430,1035.37,36693472.00,4421,8
34,5003,1032.79,41336368.00,4959,43
35,6133,1019.78,50034576.00,6081,50
36,6306,1025.48,51733208.00,6254,51
37,6584,1009.00,53145904.00,6538,44
38,6034,1032.36,49834312.00,5949,83
39,6947,1008.62,56054944.00,6927,18
40,6093,1047.69,51068752.00,6035,56
41,5606,1033.13,46333664.00,5543,61
42,4237,1004.10,34035112.00,4132,104
43,1449,939.38,10889312.00,1382,64
44,1470,937.87,11029400.00,1401,67
45,1789,945.21,13527872.00,1693,95
46,475,713.05,2709600.00,381,93
47,655,808.94,4238864.00,568,85
48,496,709.97,2817144.00,423,72
49,646,823.19,4254264.00,582,63
50,398,849.19,2703824.00,394,2
51,662,886.15,4693032.00,624,37
52,360,876.60,2524600.00,355,4
53,604,843.81,4077312.00,540,62
54,397,835.91,2654856.00,371,25
55,574,898.09,4124040.00,541,32
56,454,779.91,2832632.00,406,46
57,580,949.24,4404480.00,576,3
58,379,856.69,2597496.00,361,17
59,554,916.58,4062296.00,535,17
60,388,858.30,2664160.00,383,4
61,599,924.53,4430368.00,590,7
62,366,877.73,2569984.00,362,2
63,570,918.76,4189544.00,565,4
64,393,854.59,2686816.00,389,3
65,572,908.97,4159424.00,565,5
66,372,882.83,2627304.00,365,6
67,608,911.90,4435472.00,604,3
68,375,872.26,2616776.00,371,2
69,618,881.57,4358480.00,592,25
70,399,838.62,2676864.00,380,18
71,607,893.29,4337824.00,590,15
72,423,834.82,2825024.00,419,3
73,582,908.24,4228776.00,576,5
74,389,850.23,2645904.00,372,15
75,609,873.25,4254488.00,596,12
76,417,802.74,2677928.00,380,36
77,574,906.58,4163032.00,557,13
78,410,802.56,2632400.00,379,31
79,574,892.51,4098392.00,570,3
80,455,816.68,2972728.00,446,5
81,593,914.04,4336200.00,583,9
82,398,838.07,2668424.00,391,6
83,609,911.23,4439536.00,601,6
84,389,856.98,2666928.00,375,13
85,609,879.68,4285792.00,589,19
86,393,831.65,2614704.00,374,17
87,654,838.08,4384856.00,608,45
88,401,824.44,2644808.00,373,27
89,357,815.12,2327976.00,333,22
90,257,733.98,1509072.00,233,24
91,318,799.78,2034632.00,302,14
92,272,777.92,1692744.00,267,3
93,315,826.57,2082968.00,311,4
94,250,794.77,1589544.00,245,3
95,304,829.73,2017896.00,299,3
96,236,850.77,1606256.00,228,8
97,355,759.32,2156480.00,327,26
98,240,776.05,1490008.00,214,24
99,348,758.89,2112744.00,313,35
100,275,792.48,1743456.00,270,3
101,393,706.48,2221176.00,311,80
102,305,680.73,1660984.00,228,77
103,419,694.49,2327928.00,324,93
104,293,689.08,1615192.00,239,52
105,379,691.47,2096552.00,295,84
106,309,707.72,1749488.00,253,54
107,342,772.00,2112192.00,286,54
108,251,827.43,1661488.00,248,3
109,332,752.62,1998952.00,286,44
110,284,772.90,1756024.00,268,14
111,336,769.30,2067888.00,281,55
112,298,708.53,1689128.00,243,53
113,366,709.08,2076176.00,292,72
114,263,778.09,1637096.00,260,3
115,299,855.52,2046400.00,291,6
116,287,702.42,1612752.00,228,57
117,326,777.21,2026976.00,282,44
118,330,639.06,1687120.00,248,80
119,337,751.32,2025552.00,298,37
120,293,724.62,1698520.00,240,53
121,362,732.97,2122672.00,308,50
122,257,770.97,1585120.00,240,15
123,331,747.29,1978816.00,280,51
124,276,753.16,1662984.00,249,26
125,319,785.22,2003872.00,291,26
126,286,733.14,1677424.00,256,29
127,326,817.43,2131864.00,298,27
128,237,808.91,1533696.00,233,2
129,318,832.00,2116616.00,314,3
130,263,753.15,1584624.00,257,5
131,324,778.59,2018096.00,288,34
132,264,803.03,1695992.00,260,3
133,299,849.93,2033040.00,275,23
134,333,663.50,1767576.00,254,77
135,367,712.20,2091024.00,288,78
136,311,688.86,1713872.00,257,53
137,354,746.00,2112672.00,297,55
138,479,586.59,2247824.00,406,72
139,707,650.44,3678896.00,608,98
140,324,671.34,1740120.00,311,11
141,419,675.18,2263208.00,348,70
142,361,598.53,1728568.00,284,76
143,333,747.60,1991608.00,282,49
144,301,740.50,1783136.00,264,36
145,345,748.61,2066160.00,290,54
146,330,674.26,1780040.00,271,57
147,315,760.45,1916336.00,282,32
148,338,660.08,1784848.00,295,42
149,518,637.22,2640632.00,468,48
150,570,581.12,2649928.00,485,84
151,2631,792.59,16682504.00,2545,85
152,5025,875.27,35185840.00,4947,76
153,4133,1065.07,35215456.00,4118,14
154,3965,1013.31,32142320.00,3916,48
155,4119,1022.63,33697648.00,4062,53
156,3104,1058.16,26276112.00,3047,56
157,583,886.97,4136832.00,529,53
158,306,719.58,1761544.00,247,55
159,319,754.60,1925728.00,274,44
